"Name","Fpts","Position","Team","Team Total","Postponement","Salary","Pts/$","Value","Slate"
"Kurt Suzuki","5.28","C","LAA","4.5","0","3,000","1.8","-0.7","Early"
"Luke Maile","5.19","C","CLE","5.1","0","2,000","2.6","1.2","Early"
"Nick Gordon","5.19","OF","MIN","4.3","0","2,700","1.9","-0.2","Early"
"Seth Brown","5.18","1B/OF","OAK","3.3","0","4,100","1.3","-3.0","Early"
"Kevin Plawecki","5.17","C","BOS","4.2","0","2,700","1.9","-0.2","Main"
"Yoshi Tsutsugo","5.14","1B","PIT","3.2","0","2,500","2.1","0.1","Early"
"Charlie Culberson","5.11","3B/OF","TEX","4.5","0","2,300","2.2","0.5","Early"
"Abraham Toro","5.09","2B/3B","SEA","3.8","0","3,400","1.5","-1.7","Main"
"Ehire Adrianza","5.08","3B/OF","WAS","4.2","0","2,000","2.5","1.1","Early"
"Geraldo Perdomo","5.06","SS","ARI","4.9","0","2,400","2.1","0.3","Early"
"Diego Castillo","5.05","2B/SS","PIT","3.2","0","3,000","1.7","-1.0","Early"
"Trent Grisham","5.03","OF","SD","3.5","0","2,300","2.2","0.4","Main"
"Tyler Nevin","5.02","3B","BAL","4.2","0","2,800","1.8","-0.6","Early"
"Yan Gomes","5.02","C","CHC","3.5","0","2,400","2.1","0.2","Main"
"Stephen Piscotty","5.02","OF","OAK","3.3","0","2,000","2.5","1.0","Early"
"Rougned Odor","4.94","2B","BAL","4.2","0","3,200","1.5","-1.5","Early"
"Raimel Tapia","4.92","OF","TOR","4.2","0","2,000","2.5","0.9","Main"
"Gilberto Celestino","4.87","OF","MIN","4.3","0","2,200","2.2","0.5","Early"
"Tucker Barnhart","4.82","C","DET","4.1","0","2,200","2.2","0.4","Other"
"Kevin Newman","4.82","SS","PIT","3.2","0","4,000","1.2","-3.2","Early"
"Jose Azocar","4.79","OF","SD","3.5","0","2,000","2.4","0.8","Main"
"Sheldon Neuse","4.67","1B/3B","OAK","3.3","0","2,500","1.9","-0.3","Early"
"Andrew Knizner","4.52","C","STL","4.7","0","2,700","1.7","-0.9","Other"
"P.J. Higgins","4.38","C/1B","CHC","3.5","0","2,400","1.8","-0.4","Main"
"Skye Bolt","4.15","OF","OAK","3.3","0","2,000","2.1","0.2","Early"
"Michael Perez","4.09","C","PIT","3.2","0","2,600","1.6","-1.1","Early"
"Austin Wynns","4.00","C","SF","3.7","0","2,000","2.0","0.0","Main"
